"Month","Month_Number","Sum(FINES)"
"January",1,327559
"February",2,314482
"March",3,322850
"April",4,307544
"May",5,325306
"June",6,300240
"July",7,317832
"August",8,319780
"September",9,233409
"October",10,176724
"November",11,180151
"December",12,197456
