"Month","Month_Number","Others","Camera_Issued","Police_Issued","Unknown"
"January",1,0,280104,47454,1
"February",2,0,270260,44222,0
"March",3,0,268458,54392,0
"April",4,0,260952,46592,0
"May",5,0,276158,49148,0
"June",6,0,251263,48977,0
"July",7,1,271103,46728,0
"August",8,0,267574,52206,0
"September",9,0,189825,43584,0
"October",10,0,138529,38195,0
"November",11,0,147547,32604,0
"December",12,0,157471,39985,0
