"YEAR","Camera_Issued","Police_Issued","Others","Unknown"
2008,2639,,,
2009,2576,,,
2010,2518,,,
2011,2856,,,
2012,3004,,,
2013,2908,,,
2014,3670,,,
2015,3798,,,
2016,3265,,,
2017,3330,362,,
2018,3756,524,,
2019,3211,486,,
2020,3290,483,,
2021,4458,409,,
2022,4060,491,,
2023,3692,544,0,0
2024,2779,544,0,0
